ID	POP	EUR	EAS	AMR	SAS	AFR	tissue
TCGA-06-6694	EUR	0.974635	0.023629	1e-05	1e-05	0.001716	Blood Derived Normal
TCGA-06-6695	EUR	0.983416	1e-05	1e-05	0.005375	0.011189	Blood Derived Normal
TCGA-06-6697	EUR	0.988632	0.003034	1e-05	0.008037	0.000287	Blood Derived Normal
TCGA-06-6698	EUR	0.99361	0.001588	1e-05	1e-05	0.004782	Blood Derived Normal
TCGA-06-6699	AFR	0.09675	0.000756	0.02057	1e-05	0.881914	Blood Derived Normal
TCGA-06-6700	EUR	0.974171	1e-05	1e-05	0.018516	0.007294	Blood Derived Normal
TCGA-06-6701	EUR	0.991138	0.002485	1e-05	0.006357	1e-05	Blood Derived Normal
TCGA-06-A5U0	EUR	0.982957	0.001906	0.008818	0.00522	0.0011	Blood Derived Normal
TCGA-06-A5U1	AFR	0.063189	0.003608	1e-05	1e-05	0.933183	Blood Derived Normal
TCGA-06-A6S0	AFR	0.157963	1e-05	0.023314	0.01322	0.805493	Blood Derived Normal
TCGA-06-A6S1	AFR	0.096582	0.005238	1e-05	0.007188	0.890983	Blood Derived Normal
TCGA-06-A7TK	EUR	0.517937	1e-05	1e-05	1e-05	0.482033	Blood Derived Normal
TCGA-06-A7TL	AFR	0.260056	0.000206	0.03227	0.000671	0.706798	Blood Derived Normal
TCGA-09-0364	EUR	0.992408	0.000981	1e-05	0.005624	0.000977	Blood Derived Normal
TCGA-09-0365	EUR	0.987815	1e-05	1.1e-05	0.012154	1e-05	Blood Derived Normal
TCGA-09-0366	EUR	0.964334	0.000825	0.001889	0.023724	0.009228	Blood Derived Normal
TCGA-09-0367	EAS	0.20721	0.737758	1e-05	0.04058	0.014441	Blood Derived Normal
TCGA-09-0369	EUR	0.862216	1e-05	1e-05	0.115006	0.022759	Blood Derived Normal
TCGA-09-1659	EUR	0.979731	0.008915	1e-05	1e-05	0.011333	Blood Derived Normal
TCGA-09-1661	EUR	0.998159	0.001811	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-09-1662	EUR	0.986981	1e-05	0.001412	0.010053	0.001543	Blood Derived Normal
TCGA-09-1666	EUR	0.969462	0.012909	1e-05	1e-05	0.017609	Blood Derived Normal
TCGA-09-1667	EUR	0.994327	1e-05	1e-05	0.005643	1e-05	Blood Derived Normal
TCGA-09-1668	EUR	0.970721	0.003761	0.017013	0.006996	0.001509	Blood Derived Normal
TCGA-09-1669	EUR	0.809967	0.023737	0.006543	0.159388	0.000366	Blood Derived Normal
TCGA-09-1670	EUR	0.981374	1e-05	1e-05	0.017923	0.000682	Blood Derived Normal
TCGA-09-1672	EUR	0.972603	1e-05	0.013113	0.012743	0.001531	Blood Derived Normal
TCGA-09-1673	EUR	0.996136	0.002809	1e-05	0.001034	1e-05	Blood Derived Normal
TCGA-09-1674	EUR	0.918756	1e-05	1e-05	0.07695	0.004274	Blood Derived Normal
TCGA-09-1675	AMR	0.201234	0.000915	0.797831	1e-05	1e-05	Blood Derived Normal
TCGA-09-2044	EAS	0.002007	0.941131	1e-05	0.049521	0.00733	Blood Derived Normal
TCGA-09-2048	EAS	1e-05	0.988535	1e-05	0.011435	1e-05	Blood Derived Normal
TCGA-09-2049	EUR	0.971073	1e-05	1e-05	0.022675	0.006232	Blood Derived Normal
TCGA-09-2050	EUR	0.993871	0.001672	1e-05	1e-05	0.004437	Blood Derived Normal
TCGA-09-2051	EUR	0.849123	1e-05	0.01446	0.119182	0.017225	Blood Derived Normal
